panel_id,cohort,period,treatment,rho_hat,tau_hat,r_eff_hat,crossed
P001,A,1,0,0.332,0.458,4.1754,0
P001,A,2,1,0.89,0.897,0.2042,1
P001,A,3,1,0.932,0.861,0.1712,0
P001,A,4,1,0.839,0.716,0.7335,1
P002,A,1,0,0.389,0.427,4.0775,1
P002,A,2,1,0.895,0.749,0.4424,0
P002,A,3,1,0.871,0.886,0.2606,0
P002,A,4,1,0.817,0.747,0.7432,1
P003,A,1,0,0.343,0.268,5.2529,0
P003,A,2,1,0.875,0.778,0.466,1
P003,A,3,1,0.772,0.871,0.4931,1
P003,A,4,1,0.897,0.866,0.2455,0
P004,B,1,0,0.434,0.338,4.2968,0
P004,B,2,0,0.242,0.234,6.1331,0
P004,B,3,1,0.891,0.859,0.2713,1
P004,B,4,1,0.708,0.809,0.8772,0
P005,B,1,0,0.323,0.456,4.2272,0
P005,B,2,0,0.217,0.284,5.9459,0
P005,B,3,1,0.896,0.866,0.2474,0
P005,B,4,1,0.706,0.723,1.2331,0
P006,B,1,0,0.339,0.248,5.3895,0
P006,B,2,0,0.246,0.409,4.9067,0
P006,B,3,1,0.858,0.79,0.5008,0
P006,B,4,1,0.927,0.875,0.165,0
P007,C,1,0,0.491,0.434,3.498,0
P007,C,2,0,0.335,0.282,5.2289,0
P007,C,3,0,0.471,0.337,4.0666,0
P007,C,4,1,0.744,0.914,0.369,0
P008,C,1,0,0.416,0.33,4.4528,0
P008,C,2,0,0.375,0.395,4.3404,0
P008,C,3,0,0.325,0.212,5.6847,0
P008,C,4,1,0.726,0.847,0.6777,0
P009,C,1,0,0.478,0.374,3.8533,0
P009,C,2,0,0.377,0.207,5.3246,0
P009,C,3,0,0.345,0.435,4.2588,1
P009,C,4,1,0.934,0.843,0.184,0
