panel_id,cohort,period,treatment,rho_within,tau_within,rho_cross,tau_cross,r_eff_within,r_eff_cross
P001,A,1,0,0.318,0.267,0.318,0.267,5.4225,5.4225
P001,A,2,1,0.816,0.854,0.51,0.405,0.4548,3.5175
P001,A,3,1,0.915,0.929,0.435,0.539,0.111,3.2179
P001,A,4,1,0.772,0.884,0.47,0.565,0.4438,2.9172
P002,A,1,0,0.382,0.392,0.382,0.392,4.3206,4.3206
P002,A,2,1,0.772,0.933,0.458,0.409,0.2625,3.804
P002,A,3,1,0.861,0.824,0.607,0.602,0.4179,2.1334
P002,A,4,1,0.813,0.941,0.473,0.529,0.1957,3.1058
P003,A,1,0,0.264,0.434,0.264,0.434,4.643,4.643
P003,A,2,1,0.783,0.759,0.509,0.648,0.8341,2.2986
P003,A,3,1,0.928,0.9,0.623,0.623,0.1319,1.9727
P003,A,4,1,0.854,0.813,0.593,0.565,0.4628,2.3618
P004,B,1,0,0.293,0.224,0.293,0.224,5.8457,5.8457
P004,B,2,0,0.387,0.266,0.387,0.266,4.9666,4.9666
P004,B,3,1,0.937,0.798,0.431,0.608,0.221,2.8175
P004,B,4,1,0.781,0.786,0.55,0.619,0.7579,2.3007
P005,B,1,0,0.249,0.278,0.249,0.278,5.7997,5.7997
P005,B,2,0,0.394,0.443,0.394,0.443,3.9631,3.9631
P005,B,3,1,0.85,0.779,0.403,0.457,0.551,3.834
P005,B,4,1,0.776,0.886,0.43,0.527,0.432,3.3075
P006,B,1,0,0.374,0.345,0.374,0.345,4.6304,4.6304
P006,B,2,0,0.25,0.401,0.25,0.401,4.9429,4.9429
P006,B,3,1,0.893,0.898,0.433,0.431,0.1969,3.8299
P006,B,4,1,0.936,0.83,0.475,0.522,0.1953,3.1298
P007,C,1,0,0.366,0.439,0.366,0.439,4.1302,4.1302
P007,C,2,0,0.272,0.431,0.272,0.431,4.6283,4.6283
P007,C,3,0,0.206,0.339,0.206,0.339,5.6152,5.6152
P007,C,4,1,0.877,0.771,0.435,0.505,0.4725,3.412
P008,C,1,0,0.442,0.349,0.442,0.349,4.1956,4.1956
P008,C,2,0,0.433,0.401,0.433,0.401,3.9841,3.9841
P008,C,3,0,0.317,0.396,0.317,0.396,4.6428,4.6428
P008,C,4,1,0.754,0.772,0.607,0.599,0.8893,2.1464
P009,C,1,0,0.258,0.333,0.258,0.333,5.3755,5.3755
P009,C,2,0,0.352,0.417,0.352,0.417,4.3353,4.3353
P009,C,3,0,0.351,0.303,0.351,0.303,5.0052,5.0052
P009,C,4,1,0.825,0.835,0.563,0.617,0.4876,2.2558
